Number,FeelingNewCasino,CasinoFitToronto,Standalone,Complex,onlyCasino,noCasino,Convention Centre Space,Culture and Arts Facilities,Hotel,Nightclubs,Restaurants,Retail,Theatre,Other,Gender
1,Strongly opposed,Neutral,Highly Suitable,Highly Suitable,1,0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,Male
2,Somewhat opposed,Neutral,Somewhat Unsuitable,Somewhat Unsuitable,1,0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Transgender
3,Somewhat in favour,Fits Image Perfectly,Somewhat Suitable,Highly Suitable,1,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Male
4,Strongly opposed,Fits Image Perfectly,Highly Suitable,Highly Suitable,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Transgender
5,Neutral or mixed feelings,Fits Image Somewhat,Highly Suitable,Somewhat Suitable,0,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Female
6,Strongly in favour,Neutral,Neutral or Mixed Feelings,Strongly Unsuitable,0,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Transgender
7,Somewhat in favour,Fits Image Perfectly,Somewhat Suitable,Somewhat Suitable,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Transgender
8,Somewhat opposed,Neutral,Strongly Unsuitable,Neutral or Mixed Feelings,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Transgender
9,Somewhat opposed,Fits Image Somewhat,Highly Suitable,Somewhat Unsuitable,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Transgender
10,Somewhat in favour,Neutral,Strongly Unsuitable,Strongly Unsuitable,0,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Female
11,Strongly in favour,Fits Image Somewhat,Strongly Unsuitable,Somewhat Unsuitable,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Female
12,Somewhat in favour,Neutral,Strongly Unsuitable,Somewhat Unsuitable,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Transgender
13,Neutral or mixed feelings,Fits Image Perfectly,Strongly Unsuitable,Neutral or Mixed Feelings,1,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Transgender
14,Neutral or mixed feelings,Neutral,Highly Suitable,Highly Suitable,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Female
15,Strongly in favour,Fits Image Somewhat,Neutral or Mixed Feelings,Neutral or Mixed Feelings,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Male
16,Neutral or mixed feelings,Does Not Fit at All,Somewhat Suitable,Somewhat Suitable,0,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Transgender
17,Neutral or mixed feelings,Fits Image Perfectly,Highly Suitable,Somewhat Unsuitable,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Female
18,Strongly in favour,Neutral,Highly Suitable,Strongly Unsuitable,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Female
19,Somewhat in favour,Fits Image Perfectly,Strongly Unsuitable,Strongly Unsuitable,1,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Female
20,Strongly in favour,Does Not Fit at All,Somewhat Unsuitable,Strongly Unsuitable,0,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,Female
21,Somewhat in favour,Fits Image Somewhat,Somewhat Suitable,Neutral or Mixed Feelings,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Male
22,Neutral or mixed feelings,Fits Image Somewhat,Somewhat Unsuitable,Neutral or Mixed Feelings,1,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Female
23,Strongly in favour,Neutral,Somewhat Suitable,Somewhat Unsuitable,1,1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Male
24,Somewhat in favour,Does Not Fit at All,Strongly Unsuitable,Somewhat Suitable,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Female
25,Somewhat in favour,Does Not Fit at All,Somewhat Suitable,Somewhat Suitable,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Male
26,Strongly in favour,Fits Image Perfectly,Somewhat Unsuitable,Somewhat Suitable,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Transgender
27,Somewhat opposed,Fits Image Perfectly,Somewhat Unsuitable,Somewhat Suitable,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Transgender
28,Strongly in favour,Does Not Fit at All,Somewhat Unsuitable,Somewhat Suitable,1,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Female
29,Strongly in favour,Fits Image Somewhat,Strongly Unsuitable,Somewhat Unsuitable,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,Male
30,Strongly opposed,Neutral,Somewhat Unsuitable,Somewhat Suitable,1,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,Female
31,Strongly in favour,Neutral,Strongly Unsuitable,Highly Suitable,1,1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Transgender
32,Somewhat in favour,Fits Image Perfectly,Highly Suitable,Somewhat Unsuitable,1,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Female
33,Strongly in favour,Does Not Fit at All,Neutral or Mixed Feelings,Somewhat Unsuitable,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Male
34,Strongly in favour,Fits Image Somewhat,Somewhat Unsuitable,Neutral or Mixed Feelings,0,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,Transgender
35,Neutral or mixed feelings,Neutral,Somewhat Suitable,Somewhat Unsuitable,1,0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Male
36,Strongly opposed,Fits Image Perfectly,Somewhat Suitable,Somewhat Suitable,1,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Transgender
37,Somewhat opposed,Fits Image Perfectly,Neutral or Mixed Feelings,Somewhat Unsuitable,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Transgender
38,Somewhat in favour,Fits Image Perfectly,Neutral or Mixed Feelings,Highly Suitable,0,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Male
39,Somewhat opposed,Fits Image Perfectly,Highly Suitable,Neutral or Mixed Feelings,0,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Male
40,Somewhat in favour,Does Not Fit at All,Neutral or Mixed Feelings,Strongly Unsuitable,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Female
41,Strongly opposed,Neutral,Neutral or Mixed Feelings,Highly Suitable,1,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Male
42,Strongly in favour,Fits Image Somewhat,Somewhat Unsuitable,Somewhat Unsuitable,1,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Male
43,Strongly in favour,Fits Image Somewhat,Somewhat Suitable,Somewhat Unsuitable,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Female
44,Neutral or mixed feelings,Does Not Fit at All,Somewhat Unsuitable,Somewhat Suitable,1,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Male
45,Strongly opposed,Does Not Fit at All,Highly Suitable,Highly Suitable,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Female
46,Somewhat in favour,Fits Image Perfectly,Neutral or Mixed Feelings,Neutral or Mixed Feelings,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Female
47,Somewhat opposed,Fits Image Somewhat,Highly Suitable,Highly Suitable,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Female
48,Neutral or mixed feelings,Does Not Fit at All,Neutral or Mixed Feelings,Somewhat Suitable,1,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Transgender
49,Somewhat opposed,Fits Image Somewhat,Somewhat Unsuitable,Somewhat Suitable,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Transgender
50,Somewhat in favour,Fits Image Perfectly,Somewhat Unsuitable,Somewhat Unsuitable,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Female
51,Somewhat in favour,Fits Image Perfectly,Neutral or Mixed Feelings,Somewhat Suitable,1,0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Female
52,Somewhat in favour,Neutral,Neutral or Mixed Feelings,Neutral or Mixed Feelings,0,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Male
53,Somewhat opposed,Fits Image Somewhat,Somewhat Unsuitable,Somewhat Suitable,1,1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Female
54,Strongly opposed,Fits Image Perfectly,Highly Suitable,Neutral or Mixed Feelings,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,Male
